order_id,user_id,order_date,city,pay_amount,pay_type
10001,U0256,2025-06-13,淄博,187.32,支付宝
10002,U0306,2025-01-29,济宁,152.4,微信
10003,U0275,2025-01-07,烟台,195.62,微信
10004,U0009,2025-03-12,威海,243.77,支付宝
10005,U0264,2025-03-04,威海,147.12,支付宝
10006,U0295,2025-02-27,枣庄,147.12,微信
10007,U0124,2025-02-05,聊城,246.86,支付宝
10008,U0074,2025-01-27,济南,202.21,支付宝
10009,U0150,2025-06-23,潍坊,134.18,支付宝
10010,U0220,2025-05-20,日照,189.84,支付宝
10011,U0001,2025-01-23,泰安,134.51,微信
10012,U0315,2025-06-01,威海,134.38,支付宝
10013,U0181,2025-04-19,潍坊,173.31,微信
10014,U0124,2025-01-09,泰安,54.77,微信
10015,U0293,2025-01-08,济南,65.13,微信
10016,U0214,2025-01-24,济宁,129.07,微信
10017,U0096,2025-02-25,烟台,104.29,支付宝
10018,U0044,2025-03-01,临沂,177.28,支付宝
10019,U0269,2025-05-10,临沂,110.06,微信
10020,U0185,2025-06-04,潍坊,82.32,支付宝
10021,U0035,,聊城,240.61,支付宝
10022,U0270,2025-05-24,淄博,147.58,支付宝
10023,U0279,2025-02-20,聊城,163.71,支付宝
10024,U0260,2025-06-16,聊城,81.64,支付宝
10025,U0260,2025-06-29,淄博,130.06,支付宝
10026,U0284,2025-05-20,青岛,166.1,支付宝
10027,U0011,2025-04-18,日照,96.7,微信
10028,U0200,2025-02-26,青岛,180.66,支付宝
10029,U0241,2025-04-25,青岛,126.96,微信
10030,U0023,2025-05-31,临沂,143.96,支付宝
10031,U0199,2025-03-13,济宁,126.91,微信
10032,U0192,2025-01-02,济南,261.88,微信
10033,U0130,2025-02-10,潍坊,159.26,支付宝
10034,U0009,2025-06-28,威海,101.83,支付宝
10035,U0183,2025-04-19,淄博,205.24,支付宝
10036,U0035,2025-03-29,枣庄,92.85,支付 宝
10037,U0177,2025-03-13,泰安,171.49,支付宝
10038,U0124,2025-02-09,济南,52.22,微信
10039,U0054,2025-02-25,烟台,86.95,支付宝
10040,U0298,2025-03-28,济南,170.83,支付宝
10041,U0171,2025-01-27,潍坊,200.62,支付宝
10042,U0069,2025-01-24,济宁,169.43,微信
10043,U0023,2025-04-08,青岛,153.64,微信
10044,U0181,2025-01-25,日照,143.44,支付宝
10045,U0280,2025-04-02,日照,78.68,支付宝
10046,U0174,2025-03-30,威海,120.41,支付宝
10047,U0090,2025-06-04,枣庄,134.66,微信
10048,U0238,2025-03-09,临沂,218.14,微信
10049,U0246,2025-01-12,济宁,178.9,微信
10050,U0094,2025-04-28,济南,63.03,支付宝
10051,U0070,2025-05-18,临沂,177.82,微信
10052,U0033,2025-02-01,,138.82,支付宝
10053,U0235,2025-04-07,日照,122.77,支付宝
10054,U0019,2025-01-21,青岛,193.64,支付宝
10055,U0151,2025-05-22,济宁,216.7,支付宝
10056,U0104,2025-03-17,枣庄,211.22,支付宝
10057,U0023,2025-06-10,济宁,113.84,支付宝
10058,U0103,2025-06-08,青岛,142.99,支付宝
10059,U0022,2025-04-03,德州,178.22,支付宝
10060,U0162,2025-05-28,潍坊,213.65,支付宝
10061,U0159,2025-02-19,枣庄,133.65,支付宝
10062,U0264,2025-06-30,枣庄,149.79,微信
10063,U0204,2025-01-18,日照,99.15,微信
10064,U0279,2025-01-12,青岛,94.21,微信
10065,U0243,2025-06-19,济宁,204.69,微信
10066,U0130,2025-02-28,日照,234.59,微信
10067,U0019,2025-03-16,淄博,156.04,支付宝
10068,U0098,2025-01-21,潍坊,215.19,微信
10069,U0147,2025-03-01, 泰安 ,179.89,微信
10070,U0183,2025-01-26,烟台,124.52,微信
10071,U0025,2025-04-08,潍坊,179.88,支付宝
10072,U0170,2025-03-13,烟台,244.59,微信
10073,U0140,2025-04-27,泰安,158.03,微信
10074,U0064,2025-06-12,枣庄,246.06,微信
10075,U0189,2025-04-04,济南,15.91,支付宝
10076,U0224,2025-02-11,青岛,205.2,微信
10077,U0205,2025-04-05,枣庄,164.79,微信
10078,U0226,2025-04-01,枣庄,143.55,支付宝
10079,U0198,2025-02-23,青岛,165.05,微信
10080,U0174,2025-06-21,临沂,50.68,微信
10081,U0096,2025-03-10,青岛,147.92,支付宝
10082,U0255,2025-06-29,威海,179.64,微信
10083,U0255,2025/04/21,济南,241.28,微信
10084,U0189,2025-06-15,泰安,131.5,支付宝
10085,U0266,2025-01-19,德州,115.53,支付宝
10086,U0137,2025-06-05,聊城,132.4,微信
10087,U0043,2025-06-12,日照,210.35,微信
10088,U0218,2025-02-13,济宁,178.08,支付宝
10089,U0041,2025-05-17,济宁,130.86,支付宝
10090,U0221,2025-03-04,日照,188.23,微信
10091,U0309,2025-02-11,烟台,165.34,微信
10092,U0093,2025-04-29,德州,213.28,微信
10093,U0280,2025-04-08,淄博,121.39, 支付宝
10094,U0151,2025-03-11,潍坊,141.98,微信
10095,U0165,2025-06-13,德州,138.43,支付宝
10096,U0053,2025-06-26,威海,79.51,支付宝
10097,U0041,2025-05-23,临沂,176.29,支付宝
10098,U0168,2025-02-26,淄博,174.36,支付宝
10099,U0152,2025-06-25,济南,160.28,支付宝
10100,U0157,2025-03-25,潍坊,147.1,支付宝
10101,U0229,2025-01-15,淄博,82.15,微信
10102,U0309,2025-02-28,潍坊,136.86,微信
10103,U0219,2025-01-09,淄博,141.15,支付宝
10104,U0086,2025-03-22,日照,115.87,支付宝
10105,U0228,2025-04-13,枣庄,151.13,支付宝
10106,U0180,2025-03-10,威海,182.22,支付宝
10107,U0229,2025-01-17,临沂,263.74,支付宝
10108,U0022,2025-02-24,枣庄,169.6,微信
10109,U0181,2025-05-26,青岛,174.17,微信
10110,U0315,2025-03-22,济宁,155.91,支付宝
10111,U0223,2025-02-24,潍坊,54.47,支付宝
10112,U0141,2025-06-17,聊城,158.54,支付宝
10113,U0030,2025-05-08,济南,163.31,支付宝
10114,U0039,2025-04-12,淄博,295.48,支付宝
10115,U0208,2025-06-14,威海,149.42,微信
10116,U0187,2025-04-28, 淄博 ,176.59,支付宝
10117,U0263,2025-02-06,德州,158.09,微信
10118,U0082,2025-03-09,威海,95.72,微信
10119,U0016,2025-02-05,日照,222.86,微信
10120,U0074,2025-03-05,威海,201.36,支付宝
10121,U0312,2025-05-24,泰安,203.51,支付宝
10122,U0225,2025-05-18,济宁,109.98,支付宝
10123,U0018,2025-03-09,德州,237.15,微信
10124,U0065,2025-05-30,枣庄,82.9,支付宝
10125,U0035,2025-04-20,泰安,192.28,支付宝
10126,U0121,2025-05-30,泰安,280.48,支付宝
10127,U0188,2025-04-13,临沂,105.52,微信
10128,U0186,2025-04-03,德州,128.85,支付宝
10129,U0197,2025-02-26,临沂,,支付宝
10130,U0291,2025-02-05,泰安,132.31,微信
10131,U0017,2025-05-11,济南,74.71,微信
10132,U0310,2025-05-07,潍坊,163.77,支付宝
10133,U0079,2025-01-24,济宁,101.57,微信
10134,U0231,2025-01-13,日照,186.05,支付宝
10135,U0190,2025-01-29,潍坊,109.43,支付宝
10136,U0191,2025-02-09,临沂,245.25,支付宝
10137,U0228,2025-06-10,日照,116.92,微信
10138,U0040,2025-02-10,泰安,142.29,微信
10139,U0294,2025-06-24,威海,204.74,支付宝
10140,U0071,2025-04-19,青岛,92.3,支付宝
10141,U0272,2025-06-02,烟台,172.51,微信
10142,U0188,2025-01-17,聊城,231.89,支付宝
10143,U0204,2025-04-09,德州,71.59,微信
10144,U0161,2025-04-08,,170.15,支付宝
10145,U0143,2025-06-02,济宁,174.29,微信
10146,U0128,2025-04-30,潍坊,203.0,支付宝
10147,U0059,2025-05-16,淄博,91.97,支付宝
10148,U0014,2025-03-06,潍坊,87.37,支付宝
10149,U0096,2025-05-22,淄博,188.71,支付宝
10150,U0256,2025-01-03,烟台,176.33,微信
10151,U0266,2025-06-24,青岛,173.78,微信
10152,U0199,2025-01-30,淄博,179.05,微信
10153,U0288,2025-06-24,枣庄,122.6,微信
10154,U0061,2025-05-18,济南,172.77,支付宝
10155,U0135,2025-03-10,德州,176.12,微信
10156,U0134,2025-06-14,聊城,120.71,支付宝
10157,U0229,2025-03-29,威海,262.62,支付宝
10158,U0110,2025-01-29,威海,186.06,支付宝
10159,U0314,2025-03-17,淄博,94.48,支付宝
10160,U0147,2025-04-22,德州,196.11,微信
10161,U0252,2025-02-10,潍坊,106.39,支付宝
10162,U0103,2025-04-27,济宁,203.29,微信
10163,U0063,2025-01-01,潍坊,223.72,微信
10164,U0070,2025-03-09,泰安,114.86,微信
10165,U0038,2025-05-09,泰安,212.99,微信
10166,U0232,2025-02-15,威海,182.7,微信
10167,U0089,2025-05-10,威海,205.21,微信
10168,U0228,2025-01-28,威海,264.32,支付宝
10169,U0045,2025-06-10,德州,146.5,支付宝
10170,U0164,2025-03-18,济宁,118.54,微信
10171,U0178,2025-06-13,济宁,111.08,支付宝
10172,U0034,2025-05-10,威海,115.13,微信
10173,U0282,2025-06-05,德州,155.76,微信
10174,U0278,2025-02-20,济宁,178.76,微信
10175,U0149,2025-02-09,德州,175.22,微信
10176,U0154,2025-04-06,青岛,205.5,微信
10177,U0081,2025-02-11,淄博,160.72,支付宝
10178,U0090,2025-05-19,烟台,239.94,微信
10179,U0186,2025-05-16,潍坊,145.44,支付宝
10180,U0261,2025-01-01,青岛,309.61,支付宝
10181,U0115,2025-06-03,潍坊,194.41,支付宝
10182,U0063,2025-03-24,日照,112.86,支付宝
10183,U0103,2025-05-06,枣庄,101.1,支付宝
10184,U0072,2025-01-05,威海,186.54,支付宝
10185,U0122,2025-01-29,威海,147.71,微信
10186,U0253,2025-04-03,枣庄,199.27,支付宝
10187,U0014,2025-03-20,济南,186.03,微信
10188,U0185,2025-03-03,泰安,,微信
10189,U0284,2025-01-15,青岛,113.43,微信
10190,U0294,2025-03-03,潍坊,76.68,支付宝
10191,U0189,2025-05-26,泰安,135.44,支付宝
10192,U0240,2025-01-21,威海,207.1,微信
10193,U0283,2025-01-22,威海,171.78,支付宝
10194,U0067,2025-05-05,日照,91.48,微信
10195,U0314,2025-01-18,聊城,169.52,微信
10196,U0045,2025-05-17,潍坊,181.19,支付宝
10197,U0034,2025-02-02,济南,111.39,支付宝
10198,U0159,2025-02-02,潍坊,168.45,微信
10199,U0204,2025-06-18,烟台,163.2,微信
10200,U0246,2025-05-02,聊城,97.14,微信
10201,U0270,2025-05-21,临沂,179.68,支付宝
10202,U0211,2025-02-12,济南,190.84,支付宝
10203,U0210,2025-03-09,聊城,219.57,微信
10204,U0295,2025-05-16,枣庄,217.96,微信
10205,U0038,2025-06-05,青岛,84.23,微信
10206,U0065,2025-04-19,烟台,108.42,支付宝
10207,U0163,2025-02-24,济南,188.33,微信
10208,U0038,2025-05-19,烟台,188.26,微信
10209,U0231,2025-02-30,德州,188.33,支付宝
10210,U0239,2025-02-21,青岛,371.9,支付宝
10211,U0265,2025-03-21,青岛,191.4,支付宝
10212,U0177,2025-04-13,青岛,222.46,支付宝
10213,U0066,2025-06-21,枣庄,212.47,微信
10214,U0283,2025-06-16,聊城,195.83,微信
10215,U0301,2025-04-06,日照,142.66,微信
10216,U0094,2025-04-23,济宁,201.74,支付宝
10217,U0067,2025-05-13,临沂,117.49,支付宝
10218,U0222,2025-04-26,泰安,146.97,支付宝
10219,U0258,2025-01-31,青岛,133.31,微信
10220,U0029,2025-03-05,聊城,164.5,支付宝
10221,U0064,2025-02-27,枣庄,287.31,微信
10222,U0266,2025-01-17,德州,57.3,微信
10223,U0079,2025-03-28,烟台,197.74,微信
10224,U0156,2025-01-06,青岛,71.3,微信
10225,U0085,2025-05-31,聊城,134.04,支付宝
10226,U0083,2025-05-22,潍坊,219.89,支付宝
10227,U0166,2025-02-28,威海,163.54,微信
10228,U0116,2025-05-31,日照,100.72,微信
10229,U0178,2025-02-26,济宁,120.66,支付宝
10230,U0266,2025-01-02,临沂,197.38,微信
10231,U0146,2025-01-19,枣庄,119.83,支付宝
