,order_id,user_id,order_date,city,pay_amount,pay_type,order_date_dt,pay_type_clean,is_valid
0,10001,U0256,2025-06-13,淄博,187.32,支付宝,2025-06-13,支付宝,True
1,10002,U0306,2025-01-29,济宁,152.4,微信,2025-01-29,微信,True
2,10003,U0275,2025-01-07,烟台,195.62,微信,2025-01-07,微信,True
3,10004,U0009,2025-03-12,威海,243.77,支付宝,2025-03-12,支付宝,True
4,10005,U0264,2025-03-04,威海,147.12,支付宝,2025-03-04,支付宝,True
5,10006,U0295,2025-02-27,枣庄,147.12,微信,2025-02-27,微信,True
6,10007,U0124,2025-02-05,聊城,246.86,支付宝,2025-02-05,支付宝,True
7,10008,U0074,2025-01-27,济南,202.21,支付宝,2025-01-27,支付宝,True
8,10009,U0150,2025-06-23,潍坊,134.18,支付宝,2025-06-23,支付宝,True
9,10010,U0220,2025-05-20,日照,189.84,支付宝,2025-05-20,支付宝,True
10,10011,U0001,2025-01-23,泰安,134.51,微信,2025-01-23,微信,True
11,10012,U0315,2025-06-01,威海,134.38,支付宝,2025-06-01,支付宝,True
12,10013,U0181,2025-04-19,潍坊,173.31,微信,2025-04-19,微信,True
13,10014,U0124,2025-01-09,泰安,54.77,微信,2025-01-09,微信,True
14,10015,U0293,2025-01-08,济南,65.13,微信,2025-01-08,微信,True
15,10016,U0214,2025-01-24,济宁,129.07,微信,2025-01-24,微信,True
16,10017,U0096,2025-02-25,烟台,104.29,支付宝,2025-02-25,支付宝,True
17,10018,U0044,2025-03-01,临沂,177.28,支付宝,2025-03-01,支付宝,True
18,10019,U0269,2025-05-10,临沂,110.06,微信,2025-05-10,微信,True
19,10020,U0185,2025-06-04,潍坊,82.32,支付宝,2025-06-04,支付宝,True
20,10021,U0035,,聊城,240.61,支付宝,,支付宝,False
21,10022,U0270,2025-05-24,淄博,147.58,支付宝,2025-05-24,支付宝,True
22,10023,U0279,2025-02-20,聊城,163.71,支付宝,2025-02-20,支付宝,True
23,10024,U0260,2025-06-16,聊城,81.64,支付宝,2025-06-16,支付宝,True
24,10025,U0260,2025-06-29,淄博,130.06,支付宝,2025-06-29,支付宝,True
25,10026,U0284,2025-05-20,青岛,166.1,支付宝,2025-05-20,支付宝,True
26,10027,U0011,2025-04-18,日照,96.7,微信,2025-04-18,微信,True
27,10028,U0200,2025-02-26,青岛,180.66,支付宝,2025-02-26,支付宝,True
28,10029,U0241,2025-04-25,青岛,126.96,微信,2025-04-25,微信,True
29,10030,U0023,2025-05-31,临沂,143.96,支付宝,2025-05-31,支付宝,True
30,10031,U0199,2025-03-13,济宁,126.91,微信,2025-03-13,微信,True
31,10032,U0192,2025-01-02,济南,261.88,微信,2025-01-02,微信,True
32,10033,U0130,2025-02-10,潍坊,159.26,支付宝,2025-02-10,支付宝,True
33,10034,U0009,2025-06-28,威海,101.83,支付宝,2025-06-28,支付宝,True
34,10035,U0183,2025-04-19,淄博,205.24,支付宝,2025-04-19,支付宝,True
35,10036,U0035,2025-03-29,枣庄,92.85,支付 宝,2025-03-29,支付宝,True
36,10037,U0177,2025-03-13,泰安,171.49,支付宝,2025-03-13,支付宝,True
37,10038,U0124,2025-02-09,济南,52.22,微信,2025-02-09,微信,True
38,10039,U0054,2025-02-25,烟台,86.95,支付宝,2025-02-25,支付宝,True
39,10040,U0298,2025-03-28,济南,170.83,支付宝,2025-03-28,支付宝,True
40,10041,U0171,2025-01-27,潍坊,200.62,支付宝,2025-01-27,支付宝,True
41,10042,U0069,2025-01-24,济宁,169.43,微信,2025-01-24,微信,True
42,10043,U0023,2025-04-08,青岛,153.64,微信,2025-04-08,微信,True
43,10044,U0181,2025-01-25,日照,143.44,支付宝,2025-01-25,支付宝,True
44,10045,U0280,2025-04-02,日照,78.68,支付宝,2025-04-02,支付宝,True
45,10046,U0174,2025-03-30,威海,120.41,支付宝,2025-03-30,支付宝,True
46,10047,U0090,2025-06-04,枣庄,134.66,微信,2025-06-04,微信,True
47,10048,U0238,2025-03-09,临沂,218.14,微信,2025-03-09,微信,True
48,10049,U0246,2025-01-12,济宁,178.9,微信,2025-01-12,微信,True
49,10050,U0094,2025-04-28,济南,63.03,支付宝,2025-04-28,支付宝,True
50,10051,U0070,2025-05-18,临沂,177.82,微信,2025-05-18,微信,True
51,10052,U0033,2025-02-01,未知,138.82,支付宝,2025-02-01,支付宝,True
52,10053,U0235,2025-04-07,日照,122.77,支付宝,2025-04-07,支付宝,True
